Item Number,tmp,Title,list price1,list price2
70078,35167220182,HYDROCRT OINT 1% 30GM OTC   TA,4.33,4.33
70136,35167220102,HYDROCRT CRM 0.5% 30GM W AL TA,3.39,3.39
008-0010,18501100001,PONARIS NASAL EMOLLIENT 1OZ,11.15,11.15
160457,2581093,EQUAL PK,2.8,2.8
160465,2582013,EQUAL TAB,1.7,1.7
021-5715,30007416140,EMPTY EVAC CONT 1L HOS,152.07,152.07
290619,30225049533,ITCH X GEL 1.25OZ W/ALOE VERA,3.97,3.97
290650,30225051651,ITCH X SPR 2OZ W/ALOE VERA,5.07,5.07
290684,30225052547,AYR SALINE GEL W/ALOE .5OZ,3.38,3.38
290692,30225052053,PRETTY FT/HAND 3OZ RGH SKIN,5.43,5.43
290734,30225055050,AYR BABY SALINE SPR/DROP 30ML,2.63,2.63
300806,30099804081,ISOPTO TEARS .5% EYE DRP 15ML,27.2,27.2
302018,30006505300,EYE-STREAM SOL  30ML,20.51,20.51
303347,30006501042,OPTI-CLEAN II DAILY CLNR 20ML,9.18,9.18
303529,30006501931,OPTI-FREE REWETTING DRP 10ML,5.92,5.92
303768,30006501931,OPTI-FREE DROP 20ML,8.72,8.72
304154,30006500851,NAPHCON-A EYE DRP 15ML,8.49,8.49
304170,30006501062,OPTI-FREE DAILY CLNR 20ML,9.18,9.18
304246,6521320,OPTI-FREE MULTI-PURP SOL 118ML,4.68,4.68
310250,862021905,HEMASTIX STRIPS,20.69,20.69
310284,30019328805,KETOSTIX STRIPS,9.14,9.14
310292,19328802,KETOSTIX STRIPS,15.84,15.84
310300,862021812,LABSTIX STRIPS 2181;,56.02,56.02
310649,30019328022,DIASTIX STRIPS,11.02,11.02
311258,862021612,MULTISTIX 10 SG REAGENT STRIP,38.15,38.15
311290,862021662,URISTIX 4,22.17,22.17
350108,847007020,UNISTIK 2  2.4MM YELLOW AT0702,14.07,14.07
350215,30053666710,ZINC TABS 50MG       RG 667101,2,2
370478,829030957,BD NEED/SYR 3CC 21X1    309575,12.21,12.21
370528,829030517,BD NEEDLE  20 X 1       305175,4.94,4.94
370577,829030960,BD SYR ONLY LL 10CC     309604,9.91,9.91
370585,829030510,BD NEEDLE  30 X 1/2     305106,26.13,26.13
370593,829030510,BD NEEDLE  27 X 1/2     305109,7.7,7.7
370601,829030511,BD NEEDLE  26 X 3/8     305110,7.37,7.37
370924,829030548,SHARPS COLLECT 1.4QT BD 305487,94.54,94.54
371005,829030520,BD NEEDLE FILTER 19X1.5 305200,24.97,24.97
404988,30829032820,BD PEN NEEDLE 29GX12.7MM ORIG,38.66,38.66
500231,30018707463,INSTA-GLUCOSE 40% GEL 31GM,11.9,11.9
540161,30028308713,HURRICAINE GEL CHR 10Z,7.4,7.4
603704,30012104313,UD MILK MAG     30ML PA 043130,168.19,168.19
610055,721404555,COVER-ROLL STRCH 2X10 45552JOB,7.88,7.88
610063,356640130,COVERLET DIGIT LG 01307 JOB,6.6,6.6
610089,356640033,COVERLET PATCH 1 1/2X2 00330,6.33,6.33
610105,356640030,COVERLET SPOT 7/8 RND 00301JOB,3.82,3.82
610121,3566400230,COVERLET STRIP 3/4X3 00230 JOB,3.83,3.83
610139,356640080,COVERLET TOE SHIELD 00801 JOB,6.5,6.5
610147,356640038,COVERLET 4-WING 3X3 00385 JOB,9.1,9.1
610154,721400259,TENSOPLAST WHT 1 02593002,1.75,1.75
610162,7214002595,TENOPLAST WHT 3 02595002 JOB,4.45,4.45
610188,721407616,LEUKOTAPE P 1 1/2IN 76168 JOB,6.37,6.37
610204,356640105,GELOCAST 4IN X 10YD 01053 JOB,7.55,7.55
